??/?????/???,???????,CO,O3,NO2,SO2,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
,,at 3 m (ppm),at 3 m (ppb),at 3 m (ppb),at 3 m (ppb),at 3 m (???./??.?.),at 2 m (%RH),at 2 m ,at 10 m (Deg.M),at 10 m (m/s),at 3 m (???./??.?.)
170114,1300,-,-,-,-,-,-,-,-,-,
170114,1400,-,-,-,-,-,-,-,-,-,
170114,1500,-,-,-,-,-,-,-,-,-,
170114,1600,-,-,-,-,-,-,-,-,-,
170114,1700,-,-,-,-,-,-,-,-,-,
170114,1800,-,-,-,-,-,-,-,-,-,
170114,1900,-,-,-,-,-,-,-,-,-,
170114,2000,-,-,-,-,-,-,-,-,-,
170114,2100,-,-,-,-,-,-,-,-,-,
170114,2200,-,-,-,-,-,-,-,-,-,
170114,2300,-,-,-,-,-,-,-,-,-,
170114,2400,-,-,-,-,-,-,-,-,-,
170115,100,-,-,-,-,-,-,-,-,-,
170115,200,-,-,-,-,-,-,-,-,-,
170115,300,-,-,-,-,-,-,-,-,-,
170115,400,-,-,-,-,-,-,-,-,-,
170115,500,-,-,-,-,-,-,-,-,-,
170115,600,-,-,-,-,-,-,-,-,-,
170115,700,-,-,-,-,-,-,-,-,-,
170115,800,-,-,-,-,-,-,-,-,-,
170115,900,-,-,-,-,-,-,-,-,-,
170115,1000,-,-,-,-,-,-,-,-,-,
170115,1100,-,-,-,-,-,-,-,-,-,
170115,1200,-,-,-,-,-,-,-,-,-,
170115,1300,-,-,-,-,-,-,-,-,-,
170115,1400,-,-,-,-,-,-,-,-,-,
170115,1500,-,-,-,-,-,-,-,-,-,
170115,1600,-,-,-,-,-,-,-,-,-,
170115,1700,-,-,-,-,-,-,-,-,-,
170115,1800,-,-,-,-,-,-,-,-,-,
170115,1900,-,-,-,-,-,-,-,-,-,
170115,2000,-,-,-,-,-,-,-,-,-,
170115,2100,-,-,-,-,-,-,-,-,-,
170115,2200,-,-,-,-,-,-,-,-,-,
170115,2300,-,-,-,-,-,-,-,-,-,
170115,2400,-,-,-,-,-,-,-,-,-,
170116,100,-,-,-,-,-,-,-,-,-,
170116,200,-,-,-,-,-,-,-,-,-,
170116,300,-,-,-,-,-,-,-,-,-,
170116,400,-,-,-,-,-,-,-,-,-,
170116,500,-,-,-,-,-,-,-,-,-,
170116,600,-,-,-,-,-,-,-,-,-,
170116,700,-,-,-,-,-,-,-,-,-,
170116,800,-,-,-,-,-,-,-,-,-,
170116,900,-,-,-,-,-,-,-,-,-,
170116,1000,-,-,-,-,-,-,-,-,-,
170116,1100,-,-,-,-,-,-,-,-,-,
170116,1200,-,-,-,-,-,-,-,-,-,
170116,1300,-,-,-,-,-,-,-,-,-,
170116,1400,-,-,-,-,-,-,-,-,-,
170116,1500,-,-,-,-,-,-,-,-,-,
170116,1600,-,-,-,-,-,-,-,-,-,
170116,1700,-,-,-,-,-,-,-,-,-,
170116,1800,-,-,-,-,-,-,-,-,-,
170116,1900,-,-,-,-,-,-,-,-,-,
170116,2000,-,-,-,-,-,-,-,-,-,
170116,2100,-,-,-,-,-,-,-,-,-,
170116,2200,-,-,-,-,-,-,-,-,-,
170116,2300,-,-,-,-,-,-,-,-,-,
