??/?????/???,???????,CO,O3, NO2, SO2,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
,,at 3 m (ppm),at 3 m (ppb),at 3 m (ppb),at 3 m (ppb),at 3 m (???./??.?.),at 2 m (%RH),at 2 m ,at 10 m (Deg.M),at 10 m (m/s),at 3 m (???./??.?.)
170114,100,0.7,0,12,4,61,100,26.9,109,0.1,
170114,200,,,,,54,100,26.3,99,0.1,
170114,300,0.6,0,6,4,47,100,26,15,0.1,
170114,400,0.6,0,4,3,36,100,26.2,13,0,
170114,500,1,0,2,4,63,100,25.9,108,0.1,
170114,600,1.2,0,1,4,93,100,25,109,0.1,
170114,700,1,0,4,4,91,100,25.1,125,0.1,
170114,800,0.6,0,0,4,17,97,25,138,0.1,
170114,900,0.9,0,2,4,49,79,27,162,0,
170114,1000,0.8,14,6,5,96,65,29.3,185,0.4,
170114,1100,0.6,31,2,4,115,61,30.2,181,0.4,
170114,1200,0.5,33,3,5,76,57,31,202,0.3,
170114,1300,0.6,46,7,5,75,55,31.9,202,0.6,
170114,1400,0.5,58,4,5,80,53,32.6,185,0.5,
170114,1500,0.5,67,3,6,176,52,33,179,0.4,
170114,1600,0.6,55,0,6,188,52,32.8,192,0.5,
170114,1700,0.7,22,4,5,158,55,32.5,183,0.5,
170114,1800,0.6,33,5,4,137,57,32,178,0.4,
170114,1900,0.7,47,4,4,90,60,30.8,170,0.1,
170114,2000,1.1,21,24,3,86,65,30,123,0.1,
170114,2100,1.3,6,31,4,122,69,29,101,0.1,
170114,2200,1.4,3,30,3,174,72,29,81,0.1,
170114,2300,1.2,0,31,3,120,70,29.3,263,0.4,
170114,2400,,,,,135,82,29,273,0.6,
170115,100,0.6,13,1,3,111,90,28.7,310,0.1,
170115,200,0.6,8,0,3,82,92,28.5,75,0,
170115,300,0.6,6,1,3,50,85,29,237,0,
170115,400,0.6,4,1,3,53,82,28.4,70,0,
170115,500,0.7,0,1,3,89,97,27.5,162,0,
170115,600,0.8,0,1,3,86,100,27,150,0.1,
170115,700,0.7,0,1,3,86,100,26.5,157,0.1,
170115,800,0.7,7,0,3,65,100,27,154,0.1,
170115,900,1.1,14,4,4,52,94,28.6,179,0.1,
170115,1000,0.9,14,8,5,54,67,30.9,179,0.2,
170115,1100,0.7,22,4,4,61,57,32.2,191,0.4,
170115,1200,0.6,47,1,4,83,53,33,191,0.4,
170115,1300,0.6,65,0,4,94,48,33.2,175,0.5,
170115,1400,0.6,73,1,4,75,46,33.5,176,0.5,
170115,1500,0.7,57,1,4,80,48,33.5,182,0.6,
170115,1600,0.7,63,0,4,88,48,33.5,185,0.9,
170115,1700,0.7,56,1,4,43,47,33.1,176,0.6,
170115,1800,0.8,39,1,4,76,54,32,176,0.6,
170115,1900,1,20,7,4,115,62,30.7,184,0.3,
170115,2000,0.9,16,4,3,82,66,30,174,0.2,
170115,2100,0.8,19,3,3,55,60,30,182,0.5,
170115,2200,0.7,20,1,3,47,58,30,179,0.4,
170115,2300,,,,,78,64,29.6,165,0.2,
170115,2400,0.6,0,0,5,54,66,29,232,0.5,
170116,100,0.7,0,2,5,49,66,28.4,253,0.5,
170116,200,0.7,0,4,4,67,66,28.2,255,0.5,
170116,300,0.7,0,7,4,57,66,28,263,0.4,
170116,400,0.8,0,13,4,80,69,27.2,264,0.2,
170116,500,1,0,11,4,100,74,26.9,274,0.2,
170116,600,1.2,0,8,4,111,78,27,275,0.1,
170116,700,1.2,0,7,4,99,78,26.7,303,0.3,
170116,800,1.4,0,7,4,78,74,27,280,0.7,
170116,900,0.9,11,4,5,50,65,29,300,1.1,
170116,1000,0.9,33,1,4,35,53,32,280,1.2,
170116,1100,0.8,36,0,4,77,54,31.8,313,1,
170116,1200,0.7,33,1,3,93,51,32,281,0.9,
170116,1300,0.8,42,1,3,55,46,32.7,237,0.7,
170116,1400,0.7,66,1,4,83,48,32.9,181,0.6,
170116,1500,0.7,54,1,4,84,51,32,177,0.5,
170116,1600,0.8,53,6,4,84,48,32.5,183,0.6,
170116,1700,1,50,7,4,204,56,31.6,185,0.5,
170116,1800,1,46,2,4,81,55,31,180,0.4,
170116,1900,0.8,29,2,4,58,56,30.4,145,0.1,
170116,2000,0.9,16,5,4,54,57,30.5,146,0.1,
170116,2100,1.1,3,15,3,63,60,30,337,0.1,
170116,2200,,,,,79,63,29.6,358,0.4,
170116,2300,0.8,3,11,4,64,72,28.5,72,0,
170116,2400,0.9,0,16,3,50,73,28,68,0.1,
170117,100,0.8,0,15,3,34,72,28.3,168,0.1,
170117,200,0.8,0,16,3,29,71,28.2,133,0.1,
170117,300,0.7,0,11,3,47,73,28,28,0,
170117,400,0.8,0,18,3,42,73,28.3,111,0,
170117,500,0.9,4,16,3,48,74,28.1,165,0,
170117,600,1.2,5,21,4,60,76,28,352,0.1,
170117,700,1,11,16,4,32,67,28.1,311,1,
170117,800,1.1,12,7,3,78,84,27,282,0.2,
170117,900,0.8,8,3,3,35,79,27,222,0.1,
170117,1000,1,0,10,3,22,69,28.2,293,1,
170117,1100,1,1,8,3,52,66,29,261,1.2,
170117,1200,1,1,5,3,55,66,29,261,1.2,
170117,1300,0.9,2,6,4,58,65,29.4,266,0.7,
170117,1400,0.8,6,2,4,41,61,30,267,0.9,
170117,1500,0.8,0,3,3,50,56,31,254,1.1,
170117,1600,0.8,0,6,3,67,56,30.7,255,1,
170117,1700,1,14,11,3,95,55,31,272,0.7,
170117,1800,1.2,19,15,3,79,58,30,275,0.7,
170117,1900,1.1,8,17,3,58,60,30.1,268,0.3,
170117,2000,0.9,12,5,3,91,69,29.6,151,0.1,
170117,2100,,,,,71,74,29,141,0.1,
170117,2200,0.9,8,6,3,63,76,28.4,115,0,
170117,2300,0.9,5,5,3,57,77,28.3,122,0,
170117,2400,0.9,0,6,3,82,83,28,154,0.1,
170118,100,0.9,0,10,3,72,91,27.7,179,0.1,
170118,200,1,0,14,3,76,98,27.5,155,0,
170118,300,0.9,0,8,3,68,100,27,188,0,
170118,400,0.9,0,5,3,69,100,26.9,7,0,
170118,500,1,0,9,3,81,100,27.1,273,0.1,
170118,600,1.1,0,10,3,148,100,27,167,0,
170118,700,1.8,0,13,4,151,100,26.7,237,0.1,
170118,800,1.8,0,16,5,109,90,28,292,0.4,
170118,900,1,0,5,4,19,67,29.6,291,1.1,
170118,1000,0.7,0,0,3,30,58,31,287,1.6,
170118,1100,0.5,7,0,3,45,51,31.6,299,1.6,
170118,1200,0.5,15,0,3,53,48,31,289,1.6,
170118,1300,0.5,20,0,3,74,48,32.1,279,1.2,
170118,1400,0.5,21,0,3,43,46,32.4,274,1.6,
170118,1500,0.5,14,0,3,45,43,32,288,1.4,
170118,1600,0.6,9,3,3,62,44,32.1,289,1,
170118,1700,0.7,1,10,3,79,45,31.7,284,1,
170118,1800,1.1,0,17,3,65,45,31,275,0.6,
170118,1900,1.1,0,21,4,97,48,30.7,244,0.2,
170118,2000,,,,,110,50,30.1,268,0.1,
170118,2100,1.4,0,31,4,92,51,30,248,0.1,
170118,2200,1.3,0,25,4,66,52,30,257,0.1,
170118,2300,1.3,0,24,5,77,54,29.7,257,0.1,
170118,2400,1,3,19,5,74,60,29,165,0,
170119,100,0.8,8,14,4,86,68,28.2,39,0.1,
170119,200,0.8,9,7,3,120,80,27.5,106,0,
170119,300,0.8,6,7,3,88,93,27,75,0,
170119,400,0.8,7,2,3,83,100,26.4,137,0,
170119,500,0.8,7,2,3,82,100,26.2,159,0,
170119,600,1,2,2,3,82,100,26,158,0,
